[DemoDirector] silenced 2 ROS component(s)
[DemoDirector] capture camera ready (1280x720)
[DemoDirector] shot=seed303_high preset=overview fps=30 1280x720 start=0s duration=20s frames=600 ride=main
[DemoDirector] framing center=(0.40, 1.40, 0.00) radius=2.80 pileSize=(0.00, 0.00, 0.00)
[DemoDirector] progress frame=30 captured=30 virtualTime=0.97s wall=3.0s lastCapture=74.7ms avgCapture=83.8ms worst=273.0ms
[DemoDirector] progress frame=60 captured=60 virtualTime=1.97s wall=5.3s lastCapture=74.7ms avgCapture=78.3ms worst=273.0ms
[DemoDirector] progress frame=90 captured=90 virtualTime=2.97s wall=7.5s lastCapture=75.6ms avgCapture=77.0ms worst=273.0ms
[DemoDirector] progress frame=120 captured=120 virtualTime=3.97s wall=9.8s lastCapture=72.8ms avgCapture=76.2ms worst=273.0ms
[DemoDirector] progress frame=150 captured=150 virtualTime=4.97s wall=12.1s lastCapture=73.8ms avgCapture=75.7ms worst=273.0ms
[DemoDirector] progress frame=180 captured=180 virtualTime=5.97s wall=14.4s lastCapture=73.2ms avgCapture=75.3ms worst=273.0ms
[DemoDirector] progress frame=210 captured=210 virtualTime=6.97s wall=16.6s lastCapture=72.8ms avgCapture=74.9ms worst=273.0ms
[DemoDirector] progress frame=240 captured=240 virtualTime=7.97s wall=18.8s lastCapture=70.0ms avgCapture=74.4ms worst=273.0ms
[DemoDirector] progress frame=270 captured=270 virtualTime=8.97s wall=21.0s lastCapture=72.7ms avgCapture=74.1ms worst=273.0ms
[DemoDirector] progress frame=300 captured=300 virtualTime=9.97s wall=23.3s lastCapture=72.1ms avgCapture=74.0ms worst=273.0ms
[DemoDirector] progress frame=330 captured=330 virtualTime=10.97s wall=25.6s lastCapture=75.2ms avgCapture=73.9ms worst=273.0ms
[DemoDirector] progress frame=360 captured=360 virtualTime=11.97s wall=27.8s lastCapture=73.5ms avgCapture=73.8ms worst=273.0ms
[DemoDirector] progress frame=390 captured=390 virtualTime=12.97s wall=30.1s lastCapture=72.6ms avgCapture=73.7ms worst=273.0ms
[DemoDirector] progress frame=420 captured=420 virtualTime=13.97s wall=32.4s lastCapture=72.4ms avgCapture=73.7ms worst=273.0ms
[DemoDirector] progress frame=450 captured=450 virtualTime=14.97s wall=34.6s lastCapture=73.0ms avgCapture=73.6ms worst=273.0ms
[DemoDirector] progress frame=480 captured=480 virtualTime=15.97s wall=36.9s lastCapture=72.9ms avgCapture=73.6ms worst=273.0ms
[DemoDirector] progress frame=510 captured=510 virtualTime=16.97s wall=39.2s lastCapture=73.4ms avgCapture=73.6ms worst=273.0ms
[DemoDirector] progress frame=540 captured=540 virtualTime=17.97s wall=41.5s lastCapture=75.1ms avgCapture=73.7ms worst=273.0ms
[DemoDirector] progress frame=570 captured=570 virtualTime=18.97s wall=43.8s lastCapture=72.4ms avgCapture=73.6ms worst=273.0ms
[DemoDirector] progress frame=600 captured=600 virtualTime=19.97s wall=46.1s lastCapture=73.3ms avgCapture=73.6ms worst=273.0ms
